firm_id,year,v_production,v_investment,v_capital,v_material,v_labor,v_m_share
1,1997,15.2436676874641,12.2967174137522,13.6469111799501,.0199931462467459,27.407509,-.46319276
1,1998,15.4398920066508,12.6583131911957,13.841185809558,.0199931462467459,20.842457,-.41726553
1,1999,15.3679367100336,12.3586993074891,13.9283382249254,.0199931462467459,25.953587,-.39354613
2,1997,14.8474470017139,12.3571786951712,13.6883098272041,-.009118774710475,43.536949,-.56622034
2,1998,14.7600539157302,11.5890713591495,13.6968350116387,-.0191691105639765,41.272972,-.52319157
2,1999,14.7037951740429,12.6856923913699,13.8871149630935,-.0292194464174779,42.817913,-.62186801
3,1998,13.9123585566409,12.1450957741812,12.0143163209576,.145002606615699,17.486481,-.24129467
3,1999,13.6600445262409,9.89272989588317,12.0051784806561,.18422331976898,17.494886,-.22745578
4,1995,17.6699183565901,14.5626202174671,17.1751309448874,.0532712335745513,71.618164,-.42778003
4,1996,17.606478686395,15.2652350136439,17.2278471542362,.0828300358160957,78.801003,-.42005929
5,1998,16.0787049125008,13.4246108574154,15.1471543902231,.0829571938046844,52.999359,-.34495544
5,1999,16.0031070250352,14.0183811954149,15.3130338568205,.102759821100864,51.999664,-.3214184
6,1998,10.6063385401654,8.14351740579748,8.54161259595698,.027269790394629,-5.1722155,-1.3880495
6,1999,11.0108343027462,8.070906088787821,8.89698487275969,.027269790394629,-4.8469191,-1.8071865
7,1996,12.1015451161762,9.269363712425641,9.18124106415091,0,14.10842,-.61450171
7,1997,12.501302412339,8.658692753689939,9.516184020052769,0,16.51829,-.51365322
8,1998,13.6316826596517,9.269080866998779,10.3672844598723,-.0222506089348197,3.326771,-.18991688
8,1999,13.5453339433579,9.033125752550371,10.4715730849913,.0639270873062326,4.8234453,-.1494821
9,1998,14.1118044506364,10.7105212984733,11.8987829267722,0,49.914024,-.3246378
9,1999,14.2857413812271,10.7748018387628,12.0523018102195,0,48.434391,-.3630634
10,1998,10.8036895520607,9.471396088360249,9.77077296908929,.0043316601319866,.55440885,-3.063895
10,1999,10.8567079134952,7.96450336355155,9.81865380279427,.0626005682559624,3.8511147,-1.9194895
11,1998,12.8619358362769,8.36637030168165,8.684976241089069,0,3.4742906,-.27331194
11,1999,12.6408894146865,7.96137020171951,8.943649762359151,0,4.0309782,-.52762306
