firm_id,year,v_production,v_investment,v_capital,v_material,v_labor
1,1997,15.2436676874641,12.2967174137522,13.6469111799501,14.762922461964,27.407509
1,1998,15.4398920066508,12.6583131911957,13.841185809558,15.0050739976785,20.842457
1,1999,15.3679367100336,12.3586993074891,13.9283382249254,14.956838110391,25.953587
2,1997,14.8474470017139,12.3571786951712,13.6883098272041,14.2697938854798,43.536949
2,1998,14.7600539157302,11.5890713591495,13.6968350116387,14.2354799130593,41.272972
2,1999,14.7037951740429,12.6856923913699,13.8871149630935,14.0905950561889,42.817913
3,1998,13.9123585566409,12.1450957741812,12.0143163209576,13.4115105127567,17.486481
3,1999,13.6600445262409,9.89272989588317,12.0051784806561,13.0284541413466,17.494886
4,1995,17.6699183565901,14.5626202174671,17.1751309448874,17.2448331124463,71.618164
4,1996,17.606478686395,15.2652350136439,17.2278471542362,17.2083455303283,78.801003
5,1998,16.0787049125008,13.4246108574154,15.1471543902231,15.6537349821223,52.999359
5,1999,16.0031070250352,14.0183811954149,15.3130338568205,15.6114303049669,51.999664
6,1998,10.6063385401654,8.14351740579748,8.54161259595698,9.2212330426759,-5.1722155
6,1999,11.0108343027462,8.070906088787821,8.89698487275969,9.206591776622901,-4.8469191
7,1996,12.1015451161762,9.269363712425641,9.18124106415091,11.4870433952561,14.10842
7,1997,12.501302412339,8.658692753689939,9.516184020052769,11.9876491870305,16.51829
8,1998,13.6316826596517,9.269080866998779,10.3672844598723,13.4396152083483,3.326771
8,1999,13.5453339433579,9.033125752550371,10.4715730849913,13.3075235734652,4.8234453
9,1998,14.1118044506364,10.7105212984733,11.8987829267722,13.8586256014371,49.914024
9,1999,14.2857413812271,10.7748018387628,12.0523018102195,13.994136962752,48.434391
10,1998,10.8036895520607,9.471396088360249,9.77077296908929,7.73546279827671,.55440885
10,1999,10.8567079134952,7.96450336355155,9.81865380279427,8.87461788259977,3.8511147
11,1998,12.8619358362769,8.36637030168165,8.684976241089069,12.5886238914664,3.4742906
11,1999,12.6408894146865,7.96137020171951,8.943649762359151,12.1132663284437,4.0309782
12,1998,15.8533596499094,13.3422632737531,14.3642164776949,15.6321942216013,30.106453
12,1999,15.6710380931154,13.3423916813704,14.5340521048278,15.2228877594819,29.72872
13,1998,13.3383810114043,6.21460809842219,11.2180925527642,12.6403840529226,26.352236
13,1999,13.3871432468299,0,11.1066024889986,12.6701958353905,26.287792
14,1998,10.6649193294145,7.64012317269536,9.699619528841151,10.0074324973016,-4.9576974
14,1999,10.5785960197768,8.85580599253656,9.93175911887792,9.88395373610455,-7.6103768
15,1996,10.5548226652816,7.42595365707754,8.225476323446779,8.393953366647681,-5.8981638
15,1997,10.6250521074576,4.83628190695148,8.156194628378341,8.237118451199891,-4.0073729
16,1996,10.7539510869265,0,8.738382835095569,10.3756761462678,-12.23293
16,1997,11.1080766056886,0,8.64648310165839,10.7625034199996,-15.482066
17,1994,10.6919449129004,8.85366542803745,8.699548080987981,9.492959650085499,6.2231612
17,1995,10.8589989975636,0,8.58806163624868,8.87766093359367,10.570187
18,1994,12.3056496619059,7.16394668434255,9.22552450730122,12.1611717016662,-.10847558
18,1995,12.3695208377319,8.21959545417708,9.43413171342905,12.2052692391364,3.3930233
19,1994,9.89123757375873,6.44094654063292,8.831434426053271,9.23071287647155,-13.360915
19,1995,11.2032820353312,0,8.71961144990931,10.261663631113,-1.1070378
20,1995,11.3728239649519,0,9.641414745590771,10.985702329093,-3.3556206
20,1996,11.5233212411523,0,9.581027682548401,11.1484116744915,1.5949277
21,1998,16.2075628197933,13.4274157095786,12.9272643756334,15.7513641859776,48.766651
21,1999,16.3347176437601,13.117163883433,13.5727922908801,15.8494351826411,44.073963
22,1993,16.1434839565558,10.6681178347179,13.1182286411515,15.7046214354977,38.025013
22,1994,16.1251771785364,12.2116321627354,13.3642856594625,15.7497091114661,31.078365
23,1992,12.1333245175998,0,8.863955163803929,11.7727711904777,-.64908165
23,1993,11.982929094216,0,8.750635527717909,11.6200078568867,.23285662
24,1998,11.5918388078787,7.8578675593318,9.35986321701875,11.0368488731218,-3.1699188
24,1999,11.4453600013802,8.793156870913821,9.681162416228981,11.1153875534182,.45705652
25,1993,11.8239998776275,11.3437965019623,11.7102423609106,10.3868038637562,15.166368
25,1994,11.7588335156945,9.204020443231361,11.6788576128053,11.2769970055649,18.348186
26,1998,11.9333424783222,5.52146091786225,9.22914249893878,11.2224210368465,10.516911
26,1999,12.2233976776015,10.0815500524097,10.2766980279149,11.824179702665,3.9212577
27,1994,15.541016327533,11.5604576954155,13.284393957679,15.0241035006694,37.883335
27,1995,15.6797537776946,10.5159668300286,13.2422338328832,15.2010462013077,39.549519
28,1994,14.5404434466594,11.9183905730784,13.0967203883493,13.6667340487506,13.569333
28,1995,14.5976113521975,12.6362336182559,13.4783183021915,13.7077283675681,18.041718
29,1997,17.1504633979282,14.0828072533542,15.6280860460625,16.8421120060681,67.581421
29,1998,17.6118994836001,13.943555427107,15.7009453713808,17.248403026254,71.421509
30,1998,15.5288572089699,12.3084577390065,14.8314897980318,14.6900038653302,40.131618
30,1999,15.67775743227,15.7783746026589,15.9618191966059,15.0237200479686,33.888432
31,1995,15.99028094317,0,12.6955157846824,15.8205040081145,25.87323
31,1996,16.3828342779167,0,12.6377807085422,16.0859800889215,29.22517
32,1998,11.0978717333348,7.9035962896143,8.493945035096431,10.5568844593943,-5.4482341
32,1999,11.1874240087009,5.45958551414416,8.42461727011783,10.5819567586176,-4.4570217
33,1992,13.8623772081786,9.921278353544681,12.3703634543223,13.4584883397033,12.596059
33,1993,13.8429544838068,11.2596705837992,12.5583546044241,13.4125678346279,-4.493535
34,1998,10.5644801960458,9.17305378719017,9.08856814004627,9.655908598899369,3.4704595
34,1999,10.5273542828022,9.00981411052738,9.59665663902336,9.253777205134369,3.7714641
35,1993,10.9497950243893,10.1658518170036,10.4729093893466,10.5065754073497,2.6926546
35,1994,11.1842567391029,0,10.3694266828859,10.7299430231954,5.6099896
36,1992,11.6583256206153,8.34283980427146,8.977083351502481,11.3827505012244,8.4498796
36,1993,11.1965545696574,6.68461172766793,8.965309020903939,10.6327519492146,8.4974794
37,1996,17.4018872342708,13.8116330501378,15.7590736691655,16.7972396362145,85.881409
37,1997,17.4035668144721,13.518283072669,15.7432274953476,16.9140141145549,87.469322
38,1993,15.7274440176443,0,13.483680549509,15.3760000706637,52.267353
38,1994,15.0446401980338,8.549466751966531,13.3622817611804,14.7625646524971,59.249596
39,1995,17.0625655173096,13.1346989800454,14.9611130744275,16.5188604789142,59.982613
39,1996,17.0942550565292,12.8076526325646,14.9642781737808,16.5224912943098,60.919888
40,1994,17.1644200783788,13.8912198901135,17.1712016157467,16.5470663142454,51.723061
40,1995,17.2272818177317,13.4174033142593,17.1084481362038,16.6032127021307,55.3731
41,1995,13.2630825880278,8.919453168575449,11.416459717755,13.2055576626168,5.8747172
41,1996,13.1071425515752,7.60090245954208,11.3370840665236,13.0895710676372,8.6860209
42,1994,16.3131163590286,11.486324783173,15.2642961741269,15.9362866242941,48.415855
42,1995,16.2716673061202,12.1620685100321,15.2386441208043,16.002029098627,51.739967
43,1996,15.4768754898428,12.449677430741,13.8120996474172,15.0496020992795,28.106941
43,1997,15.524631571895,12.0717237760053,13.8526428418665,15.1162977511342,30.55106
44,1998,15.3638341858885,11.9399302529164,13.8101562492023,14.81230837279,36.952187
44,1999,15.1113405610308,11.5549691129679,13.7915766125132,14.7281856499538,36.108727
45,1995,16.8927079665567,12.9684333399004,14.0323908559931,16.7134616881022,23.208429
45,1996,16.8164292087291,8.911125383710679,13.9093409160997,16.628560933934,24.579306
46,1995,11.5550074653496,0,8.46356032024674,11.2598921853869,-3.4072084
46,1996,11.7704163352578,0,8.35693053814123,11.4931140973548,-6.3141499
47,1994,10.910022928753,0,8.58621539580631,10.0050128973574,-7.3830214
47,1995,10.6157795810777,0,8.52581590870712,10.3255483443564,-.6453566
48,1998,14.9319922338746,10.8780471925343,12.1546998743002,14.7624621666966,49.358963
48,1999,14.503910488141,11.3025994173666,12.3859913177078,14.2897560467225,51.81881
49,1995,16.6328342706265,12.8883282273833,14.355741496465,16.2117698289714,41.790905
49,1996,16.6727578540707,12.4784976688738,14.3803894429031,16.1496351351332,44.246689
50,1995,16.2045988889051,11.6701172302917,14.2475324911579,15.7474339550943,50.106071
50,1996,16.1012494768149,12.0796757418063,14.2164798416487,15.8455807712633,47.987991
51,1998,17.5215920471425,13.231531634405,15.0494507412471,17.3790192849904,65.962326
51,1999,17.5988216294564,13.2315280480804,15.0741989932974,17.4991650329126,68.356483
52,1997,15.8969787054107,13.2516374705762,14.2191717733692,15.6094715895288,38.384525
52,1998,15.8808292132791,11.5909785022541,14.1732719914594,15.6387923557616,42.834061
53,1997,11.8304518305276,7.96554557312999,8.37914877325159,11.5735447987389,1.1020395
53,1998,12.4205512405533,10.0562086395538,10.0668471285916,12.0982155801278,7.7010474
54,1993,11.1509658289131,0,8.5918738566928,10.6502044706778,-.55048394
54,1994,11.4523495896659,0,8.49699048409872,11.0283510226882,-2.3888297
55,1993,14.0812857519354,12.9159417324427,13.6640229124448,13.6621103964277,36.940063
55,1994,14.140217286008,13.1820143489065,14.0331392503601,13.9332854579943,43.547955
56,1994,10.9508470479856,8.45914025996762,8.788593431293741,9.974432443420209,9.7016211
56,1995,11.073214800659,0,8.676757761087581,9.990040723867249,10.679798
57,1992,12.6074404425403,7.56112158953024,11.367377012994,12.2426215232773,14.233866
57,1993,12.6689663492299,7.88004820097158,11.3077249698839,12.4767827555711,13.088757
58,1992,11.5445401469202,7.60090245954208,8.317521996287169,11.3074696335501,5.5225716
58,1993,11.745998448396,7.82404601085629,8.705679043178041,11.1552907294792,6.8320694
59,1997,14.7898891494847,11.6151300057743,12.7305032010814,14.5687093513864,33.825382
59,1998,14.8418745238818,11.9073431072594,12.9618393978465,14.7446179043251,35.619225
60,1997,13.7586743416234,0,12.6073091590542,13.5532272737222,13.014774
60,1998,13.8030654274433,8.93748122841604,12.5371543076477,13.6664145168034,13.093259
61,1993,12.5540255414023,9.054504940418051,9.272761027017751,12.1036442357721,9.4316587
61,1994,12.5579472250805,6.96979066990159,9.269316577076481,12.4066550650147,6.2487164
62,1992,12.8990074317263,0,8.981115869095969,12.6057869397699,-3.4165847
62,1993,12.9595208150832,0,8.864181369765429,12.5987341430041,2.5157111
63,1996,15.3925878279131,11.5744155944797,12.9332847227576,14.9547891763553,35.20232
63,1997,15.5492491774986,11.9260941574634,13.1091618190342,15.0578632917226,36.899994
64,1997,11.944899342994,10.2383155810449,11.2832279834986,10.9771176206982,11.779204
64,1998,12.1108598341827,9.257891673834409,11.2884885776575,10.993625011146,14.875664
64,1999,12.0647362521202,7.83002808253384,11.2056717785366,10.9684996703393,17.892584
65,1996,13.0880057898656,8.69951474821019,9.586397266503759,12.9052433116449,6.0484476
65,1997,13.02909760704,9.635608107380531,10.1625733718473,12.8590221770145,6.9030938
65,1998,13.2012169896767,8.78996465113226,10.2606513769533,12.8845850518732,9.0793724
66,1997,14.1462216016501,0,11.9456937588952,14.0214230711228,-3.4141374
66,1998,15.1237980600351,10.5134976594732,12.0353578687019,14.8462497960788,10.688643
66,1999,15.2969048060309,10.7452271371459,12.1513022604315,14.9414250219556,6.3749676
67,1997,11.346644553989,0,9.98656411495322,10.8620934810579,-3.2649052
67,1998,11.523903086963,9.47270463644367,10.320423287407,11.0460244439339,-1.6588424
67,1999,11.5892668638412,9.31695010703444,10.5021866815524,11.1166666539568,-6.1097374
68,1994,15.7745354542779,11.9194033933361,15.1933738523146,14.8968961073069,54.977108
68,1995,15.9031132055279,11.7931296475661,15.1426080260153,15.0370374130346,51.470497
68,1996,15.7557564140951,11.4411179217229,15.0832562935636,14.7763976008311,46.37188
69,1996,13.8791638783959,0,12.7399353659344,13.5698702526775,17.602489
69,1997,13.9589462947136,0,12.635907061939,13.66233798611,19.41309
69,1998,13.745827236341,0,12.5318789167214,12.9648360966438,18.938486
70,1997,16.0296936755982,11.088506868945,13.851697539388,15.8767983120768,29.274265
70,1998,16.3289120672429,12.0715693521917,13.8725195217482,16.1775215336447,35.991104
70,1999,16.2325383095786,12.3825228328522,13.9378787988156,15.9965280545917,39.185371
71,1995,14.1562377646453,10.9441882025852,11.941405030386,13.4295317528811,27.891752
71,1996,14.0952592631344,10.4718365235458,12.0303367555496,13.2896199401799,26.568695
71,1997,14.0542039370087,11.1152797059142,12.2412790621658,13.2150467210654,25.497992
72,1997,13.0672576295842,8.145549631783579,12.7006896159317,12.0640826905333,37.424034
72,1998,13.2285275415843,6.97354301952014,12.5881268443153,12.1039106421797,38.38961
72,1999,13.0355806864522,8.37839078853578,12.4863342543145,12.2314210494624,37.339039
73,1995,15.1757719836623,11.0821425488778,13.1907843520561,14.4419712948002,8.7241468
